[1/20] loss:0.1731,acc_train:0.9534,val_loss:0.1830,acc_val:0.9492
[2/20] loss:0.0957,acc_train:0.9732,val_loss:0.1198,acc_val:0.9653
[3/20] loss:0.0663,acc_train:0.9817,val_loss:0.0975,acc_val:0.9709
[4/20] loss:0.0515,acc_train:0.9855,val_loss:0.0917,acc_val:0.9724
[5/20] loss:0.0469,acc_train:0.9860,val_loss:0.0977,acc_val:0.9702
[6/20] loss:0.0300,acc_train:0.9917,val_loss:0.0872,acc_val:0.9753
[7/20] loss:0.0210,acc_train:0.9941,val_loss:0.0817,acc_val:0.9773
[8/20] loss:0.0151,acc_train:0.9959,val_loss:0.0820,acc_val:0.9775
[9/20] loss:0.0184,acc_train:0.9944,val_loss:0.0909,acc_val:0.9767
[10/20] loss:0.0117,acc_train:0.9969,val_loss:0.0846,acc_val:0.9772
[11/20] loss:0.0092,acc_train:0.9975,val_loss:0.0907,acc_val:0.9780
[12/20] loss:0.0114,acc_train:0.9968,val_loss:0.0975,acc_val:0.9784
[13/20] loss:0.0054,acc_train:0.9986,val_loss:0.0860,acc_val:0.9800
[14/20] loss:0.0124,acc_train:0.9961,val_loss:0.1058,acc_val:0.9761
[15/20] loss:0.0109,acc_train:0.9962,val_loss:0.0998,acc_val:0.9786
[16/20] loss:0.0034,acc_train:0.9991,val_loss:0.0896,acc_val:0.9811
[17/20] loss:0.0153,acc_train:0.9952,val_loss:0.1091,acc_val:0.9763
[18/20] loss:0.0047,acc_train:0.9985,val_loss:0.1054,acc_val:0.9788
[19/20] loss:0.0056,acc_train:0.9984,val_loss:0.1027,acc_val:0.9796
[20/20] loss:0.0056,acc_train:0.9983,val_loss:0.1025,acc_val:0.9792
