[1/20] loss:0.5036,acc_train:0.8696,val_loss:0.4981,acc_val:0.8762
[2/20] loss:0.3664,acc_train:0.8980,val_loss:0.3651,acc_val:0.9031
[3/20] loss:0.3221,acc_train:0.9089,val_loss:0.3220,acc_val:0.9120
[4/20] loss:0.2989,acc_train:0.9154,val_loss:0.3011,acc_val:0.9174
[5/20] loss:0.2816,acc_train:0.9209,val_loss:0.2844,acc_val:0.9231
[6/20] loss:0.2677,acc_train:0.9248,val_loss:0.2722,acc_val:0.9255
[7/20] loss:0.2578,acc_train:0.9283,val_loss:0.2662,acc_val:0.9256
[8/20] loss:0.2454,acc_train:0.9327,val_loss:0.2540,acc_val:0.9296
[9/20] loss:0.2383,acc_train:0.9343,val_loss:0.2468,acc_val:0.9307
[10/20] loss:0.2287,acc_train:0.9363,val_loss:0.2400,acc_val:0.9323
[11/20] loss:0.2207,acc_train:0.9386,val_loss:0.2326,acc_val:0.9344
[12/20] loss:0.2129,acc_train:0.9411,val_loss:0.2244,acc_val:0.9346
[13/20] loss:0.2065,acc_train:0.9419,val_loss:0.2189,acc_val:0.9385
[14/20] loss:0.1971,acc_train:0.9445,val_loss:0.2108,acc_val:0.9397
[15/20] loss:0.1911,acc_train:0.9458,val_loss:0.2069,acc_val:0.9402
[16/20] loss:0.1845,acc_train:0.9475,val_loss:0.2009,acc_val:0.9421
[17/20] loss:0.1789,acc_train:0.9486,val_loss:0.1967,acc_val:0.9427
[18/20] loss:0.1752,acc_train:0.9491,val_loss:0.1929,acc_val:0.9430
[19/20] loss:0.1673,acc_train:0.9522,val_loss:0.1862,acc_val:0.9454
[20/20] loss:0.1616,acc_train:0.9544,val_loss:0.1808,acc_val:0.9478
